 DEBUG root [2020-02-11 13:16:23,210] - ClientSDK::writeEntityModule(): C:\Users\mac\Desktop\kbengine-1.3.12\server_assets\/kbengine_ue4_plugins/Source/KBEnginePlugins/Engine//Hall
 DEBUG root [2020-02-11 14:47:27,385] - ClientSDK::saveFile(): C:\Users\mac\Desktop\kbengine-1.3.12\server_assets\/kbengine_ue4_plugins/Source/KBEnginePlugins/Engine/BattleSpaceBase.cpp
 DEBUG root [2020-02-11 14:47:27,385] - ClientSDK::saveFile(): C:\Users\mac\Desktop\kbengine-1.3.12\server_assets\/kbengine_ue4_plugins/Source/KBEnginePlugins/Engine/BattleSpaceBase.h
 DEBUG root [2020-02-11 14:47:27,401] - ClientSDK::saveFile(): C:\Users\mac\Desktop\kbengine-1.3.12\server_assets\/kbengine_ue4_plugins/Source/KBEnginePlugins/Engine/EntityCallBattleSpaceBase.cpp
 DEBUG root [2020-02-11 14:47:27,401] - ClientSDK::saveFile(): C:\Users\mac\Desktop\kbengine-1.3.12\server_assets\/kbengine_ue4_plugins/Source/KBEnginePlugins/Engine/EntityCallBattleSpaceBase.h
 DEBUG root [2020-02-11 14:47:27,401] - ClientSDK::writeEntityModule(): C:\Users\mac\Desktop\kbengine-1.3.12\server_assets\/kbengine_ue4_plugins/Source/KBEnginePlugins/Engine//Avatar
 DEBUG root [2020-02-11 14:47:27,401] - ClientSDK::saveFile(): C:\Users\mac\Desktop\kbengine-1.3.12\server_assets\/kbengine_ue4_plugins/Source/KBEnginePlugins/Engine/AvatarBase.cpp
 DEBUG root [2020-02-11 14:47:27,416] - ClientSDK::saveFile(): C:\Users\mac\Desktop\kbengine-1.3.12\server_assets\/kbengine_ue4_plugins/Source/KBEnginePlugins/Engine/AvatarBase.h
 DEBUG root [2020-02-11 14:47:27,432] - ClientSDK::saveFile(): C:\Users\mac\Desktop\kbengine-1.3.12\server_assets\/kbengine_ue4_plugins/Source/KBEnginePlugins/Engine/EntityCallAvatarBase.cpp
 DEBUG root [2020-02-11 14:47:27,432] - ClientSDK::saveFile(): C:\Users\mac\Desktop\kbengine-1.3.12\server_assets\/kbengine_ue4_plugins/Source/KBEnginePlugins/Engine/EntityCallAvatarBase.h
 DEBUG root [2020-02-11 14:47:27,432] - ClientSDK::writeEntityModule(): C:\Users\mac\Desktop\kbengine-1.3.12\server_assets\/kbengine_ue4_plugins/Source/KBEnginePlugins/Engine//Gold
 DEBUG root [2020-02-11 14:47:27,432] - ClientSDK::saveFile(): C:\Users\mac\Desktop\kbengine-1.3.12\server_assets\/kbengine_ue4_plugins/Source/KBEnginePlugins/Engine/GoldBase.cpp
 DEBUG root [2020-02-11 14:47:27,432] - ClientSDK::saveFile(): C:\Users\mac\Desktop\kbengine-1.3.12\server_assets\/kbengine_ue4_plugins/Source/KBEnginePlugins/Engine/GoldBase.h
 DEBUG root [2020-02-11 14:47:27,432] - ClientSDK::saveFile(): C:\Users\mac\Desktop\kbengine-1.3.12\server_assets\/kbengine_ue4_plugins/Source/KBEnginePlugins/Engine/EntityCallGoldBase.cpp
 DEBUG root [2020-02-11 14:47:27,448] - ClientSDK::saveFile(): C:\Users\mac\Desktop\kbengine-1.3.12\server_assets\/kbengine_ue4_plugins/Source/KBEnginePlugins/Engine/EntityCallGoldBase.h
  INFO root [2020-02-11 14:47:27,464] - Script::uninstall(): is successfully!
 DEBUG root [2020-02-11 14:47:27,464] - ThreadPool::destroy(): starting size 2.
  WARN root [2020-02-11 14:47:27,620] - ThreadPool::destroy(): waiting for thread(2)[0x27f96323e20,0x27f96323f60,], try=1
  WARN root [2020-02-11 14:47:27,776] - ThreadPool::destroy(): waiting for thread(2)[0x22ced001220,0x22ced001400,], try=1
 DEBUG root [2020-02-11 14:47:28,043] - TPThread::~TPThread(): 0x27f96323e20
 DEBUG root [2020-02-11 14:47:28,043] - TPThread::~TPThread(): 0x27f96323f60
 DEBUG root [2020-02-11 14:47:28,043] - ThreadPool::destroy(): successfully!
 DEBUG root [2020-02-11 14:47:28,057] - Bundle::destroyObjPool(): size 7.
 DEBUG root [2020-02-11 14:47:28,057] - Channel::destroyObjPool(): size 0.
 DEBUG root [2020-02-11 14:47:28,057] - TCPPacket::destroyObjPool(): size 0.
 DEBUG root [2020-02-11 14:47:28,057] - UDPPacket::destroyObjPool(): size 0.
 DEBUG root [2020-02-11 14:47:28,057] - EndPoint::destroyObjPool(): size 0.
 DEBUG root [2020-02-11 14:47:28,057] - Address::destroyObjPool(): size 0.
 DEBUG root [2020-02-11 14:47:28,057] - TCPPacketReceiver::destroyObjPool(): size 0.
 DEBUG root [2020-02-11 14:47:28,057] - UDPPacketReceiver::destroyObjPool(): size 0.
  INFO root [2020-02-11 14:47:28,057] - tool(18446744073709551615) has shut down. ClientSDK=true
 DEBUG root [2020-02-11 14:47:28,229] - TPThread::~TPThread(): 0x22ced001220
 DEBUG root [2020-02-11 14:47:28,229] - TPThread::~TPThread(): 0x22ced001400
 DEBUG root [2020-02-11 14:47:28,229] - ThreadPool::destroy(): successfully!
 DEBUG root [2020-02-11 14:47:28,245] - Bundle::destroyObjPool(): size 10.
 DEBUG root [2020-02-11 14:47:28,245] - Channel::destroyObjPool(): size 0.
 DEBUG root [2020-02-11 14:47:28,245] - TCPPacket::destroyObjPool(): size 0.
 DEBUG root [2020-02-11 14:47:28,245] - UDPPacket::destroyObjPool(): size 0.
 DEBUG root [2020-02-11 14:47:28,245] - EndPoint::destroyObjPool(): size 0.
 DEBUG root [2020-02-11 14:47:28,245] - Address::destroyObjPool(): size 0.
 DEBUG root [2020-02-11 14:47:28,245] - TCPPacketReceiver::destroyObjPool(): size 0.
 DEBUG root [2020-02-11 14:47:28,245] - UDPPacketReceiver::destroyObjPool(): size 0.
  INFO root [2020-02-11 14:47:28,245] - tool(18446744073709551615) has shut down. ClientSDK=true
  INFO root [2020-02-11 14:47:29,074] - EventDispatcher()::~EventDispatcher: Num timers = 2
  INFO root [2020-02-11 14:47:29,260] - EventDispatcher()::~EventDispatcher: Num timers = 2
  INFO root [2020-02-12 12:26:12,743] - 
  INFO root [2020-02-12 12:26:12,759] - 
  INFO root [2020-02-12 12:26:12,805] - -----------------------------------------------------------------------------------------


  INFO root [2020-02-12 12:26:12,805] - Resmgr::initialize: KBE_ROOT=C:/Users/mac/Desktop/kbengine-1.3.12/
  INFO root [2020-02-12 12:26:12,805] - Resmgr::initialize: KBE_RES_PATH=C:/Users/mac/Desktop/kbengine-1.3.12/kbe/res/;C:/Users/mac/Desktop/kbengine-1.3.12/server_assets/;C:/Users/mac/Desktop/kbengine-1.3.12/server_assets/scripts/;C:/Users/mac/Desktop/kbengine-1.3.12/server_assets/res/
  INFO root [2020-02-12 12:26:12,805] - Resmgr::initialize: KBE_BIN_PATH=C:/Users/mac/Desktop/kbengine-1.3.12/kbe/bin/server/
  INFO root [2020-02-12 12:26:12,821] - -----------------------------------------------------------------------------------------


  INFO root [2020-02-12 12:26:12,821] - Resmgr::initialize: KBE_ROOT=C:/Users/mac/Desktop/kbengine-1.3.12/
  INFO root [2020-02-12 12:26:12,821] - Resmgr::initialize: KBE_RES_PATH=C:/Users/mac/Desktop/kbengine-1.3.12/kbe/res/;C:/Users/mac/Desktop/kbengine-1.3.12/server_assets/;C:/Users/mac/Desktop/kbengine-1.3.12/server_assets/scripts/;C:/Users/mac/Desktop/kbengine-1.3.12/server_assets/res/
  INFO root [2020-02-12 12:26:12,821] - Resmgr::initialize: KBE_BIN_PATH=C:/Users/mac/Desktop/kbengine-1.3.12/kbe/bin/server/
  INFO root [2020-02-12 12:26:12,868] - NetworkInterface::initialize(INTERNAL): bound to all interfaces with default route interface on 192.168.1.6 ( 192.168.1.6:55346 )
  INFO root [2020-02-12 12:26:12,868] - NetworkInterface::initialize(INTERNAL): address 192.168.1.6:55346, SOMAXCONN=511.
  INFO root [2020-02-12 12:26:12,884] - NetworkInterface::initialize(INTERNAL): bound to all interfaces with default route interface on 192.168.1.6 ( 192.168.1.6:55348 )
  INFO root [2020-02-12 12:26:12,884] - NetworkInterface::initialize(INTERNAL): address 192.168.1.6:55348, SOMAXCONN=511.
  INFO root [2020-02-12 12:26:12,899] - ---- tool Version: 1.3.12. ScriptVersion: 0.1.0. Pythoncore: 3.7.3. Protocol: 13AF19B0A958067AEB2BC4ED1CD3B46F. Config: Debug X64. Built: 00:59:42 Dec 19 2019. AppID: 18446744073709551615. UID: 0. PID: 6384 ----
